term	flynn	franco	gonzalez	green	mummucari	scialo	total	present
response_to_epidermal_growth_factor	0	0	1	1	0	0	2	2
response_to_fibroblast_growth_factor	0	0	1	1	0	0	2	2
response_to_growth_factor	0	0	1	1	0	0	2	2
response_to_hepatocyte_growth_factor	0	0	1	1	0	0	2	2
response_to_insulin	0	0	1	0	0	1	2	2
response_to_nerve_growth_factor	0	0	1	1	0	0	2	2
signaling_via_chemical_mediator	0	0	1	1	0	0	2	2
signaling_via_lipid_mediator	0	0	1	1	0	0	2	2
signaling_via_protein/peptide_mediator	0	0	1	1	0	0	2	2
skeletal_muscle_atrophy	0	0	1	0	1	0	2	2
skeletal_muscle_fiber_development	0	0	1	0	1	0	2	2
somatic_cell_DNA_recombination	0	0	1	0	0	1	2	2
T_cell_receptor_signaling_pathway	0	0	1	0	1	0	2	2
activation_of_immune_response	0	0	0	1	1	0	2	2
activation_of_innate_immune_response	0	0	0	1	1	0	2	2
cell_growth	0	0	0	1	1	0	2	2
detection_of_activity	0	0	0	1	0	1	2	2
inductive_cell_cell_signaling	0	0	0	1	0	1	2	2
protein_targeting_to_lysosome	0	0	0	1	1	0	2	2
protein_transport	0	0	0	1	0	1	2	2
protein_transport_by_the_Sec_complex	0	0	0	1	0	1	2	2
protein_transport_by_the_Tat_complex	0	0	0	1	0	1	2	2
regulation_of_lipid_kinase_activity	0	0	0	1	1	0	2	2
regulation_of_superoxide_anion_generation	0	0	0	1	0	1	2	2
response_to_lipid	0	0	0	1	1	0	2	2
response_to_other_organism	0	0	0	1	1	0	2	2
superoxide_anion_generation	0	0	0	1	0	1	2	2
ubiquitin_like_protein_binding	0	0	0	1	1	0	2	2
ubiquitin_protein_ligase_binding	0	0	0	1	1	0	2	2
cellular_response_to_tumor_cell	0	0	0	0	1	1	2	2
insulin_receptor_signaling_pathway	0	0	0	0	1	1	2	2
regulation_of_DNA_damage_checkpoint	0	0	0	0	1	1	2	2
regulation_of_DNA_metabolic_process	0	0	0	0	1	1	2	2
regulation_of_protein_targeting	0	0	0	0	1	1	2	2
regulation_of_protein_targeting_to_membrane	0	0	0	0	1	1	2	2
regulation_of_timing_of_cell_differentiation	0	0	0	0	1	1	2	2
response_to_food	0	0	0	0	1	1	2	2
response_to_yeast	0	0	0	0	1	1	2	2
cellular_response_to_insulin_like_growth_factor_stimulus	0	0	0	0	0	0	0	2
age_dependent_response_to_oxidative_stress	17	0	0	0	0	0	17	1
neuron_death_in_response_to_oxidative_stress	10	0	0	0	0	0	10	1
negative_regulation_of_programmed_cell_death	0	9	0	0	0	0	9	1
positive_regulation_of_programmed_cell_death	0	9	0	0	0	0	9	1
regulation_of_retinal_cell_programmed_cell_death	0	9	0	0	0	0	9	1
central_nervous_system_development	7	0	0	0	0	0	7	1
central_nervous_system_formation	7	0	0	0	0	0	7	1
central_nervous_system_maturation	7	0	0	0	0	0	7	1
central_nervous_system_morphogenesis	7	0	0	0	0	0	7	1
central_nervous_system_myelination	7	0	0	0	0	0	7	1
central_nervous_system_segmentation	7	0	0	0	0	0	7	1
central_nervous_system_vasculogenesis	7	0	0	0	0	0	7	1
NADH_oxidation	0	0	0	0	0	6	6	1
negative_regulation_of_superoxide_dismutase_activity	5	0	0	0	0	0	5	1
positive_regulation_of_superoxide_dismutase_activity	5	0	0	0	0	0	5	1
activation_induced_B_cell_apoptotic_process	0	0	0	0	5	0	5	1
age_dependent_response_to_reactive_oxygen_species	0	0	0	0	0	5	5	1
cellular_age_dependent_response_to_reactive_oxygen_species	0	0	0	0	0	5	5	1
methionine_R_sulfoxide_reductase_activity	0	0	0	0	0	5	5	1
"mitochondrial_electron_transport,_NADH_to_ubiquinone"	0	0	0	0	0	5	5	1
amyloid_protein	4	0	0	0	0	0	4	1
memory	4	0	0	0	0	0	4	1
reactive_oxygen_species_biosynthetic_process	4	0	0	0	0	0	4	1
cellular_response_to_reactive_oxygen_species	0	4	0	0	0	0	4	1
respiratory_chain_complex_III_assembly	0	0	4	0	0	0	4	1
unsaturated_fatty_acid_biosynthetic_process	0	0	4	0	0	0	4	1
unsaturated_fatty_acid_metabolic_process	0	0	4	0	0	0	4	1
protein_localization	0	0	0	0	4	0	4	1
thioredoxin	0	0	0	0	0	4	4	1
learning	3	0	0	0	0	0	3	1
calcium_release_channel_activity	0	3	0	0	0	0	3	1
adiponectin_activated_signaling_pathway	0	0	3	0	0	0	3	1
angiotensin_activated_signaling_pathway	0	0	3	0	0	0	3	1
auxin_activated_signaling_pathway	0	0	3	0	0	0	3	1
cellular_response_to_nitrogen_levels	0	0	3	0	0	0	3	1
collagen_activated_signaling_pathway	0	0	3	0	0	0	3	1
cytokinin_activated_signaling_pathway	0	0	3	0	0	0	3	1
ethylene_activated_signaling_pathway	0	0	3	0	0	0	3	1
long_chain_fatty_acid_import	0	0	3	0	0	0	3	1
negative_regulation_of_fatty_acid_oxidation	0	0	3	0	0	0	3	1
netrin_activated_signaling_pathway	0	0	3	0	0	0	3	1
positive_regulation_of_fatty_acid_oxidation	0	0	3	0	0	0	3	1
replicative_senescence	0	0	3	0	0	0	3	1
cyclophilin	0	0	0	3	0	0	3	1
14_3_3_protein_binding	0	0	0	0	3	0	3	1
macroautophagy	0	0	0	0	3	0	3	1
positive_regulation_of_mitochondrial_membrane_potential	0	0	0	0	3	0	3	1
protein_binding	0	0	0	0	3	0	3	1
S100_protein_binding	0	0	0	0	3	0	3	1
B_1_B_cell_differentiation	0	0	0	0	0	3	3	1
B_1a_B_cell_differentiation	0	0	0	0	0	3	3	1
B_1b_B_cell_differentiation	0	0	0	0	0	3	3	1
B_cell_differentiation	0	0	0	0	0	3	3	1
cell_differentiation	0	0	0	0	0	3	3	1
cellular_response_to_cell_envelope_stress	0	0	0	0	0	3	3	1
enzyme_regulator_activity	0	0	0	0	0	3	3	1
fatty_acid_elongase_activity	0	0	0	0	0	3	3	1
mutagenesis	0	0	0	0	0	3	3	1
NK_T_cell_differentiation	0	0	0	0	0	3	3	1
omega_3_fatty_acid_desaturase_activity	0	0	0	0	0	3	3	1
omega_6_fatty_acid_desaturase_activity	0	0	0	0	0	3	3	1
R1/R6_cell_differentiation	0	0	0	0	0	3	3	1
R2/R5_cell_differentiation	0	0	0	0	0	3	3	1
R3/R4_cell_differentiation	0	0	0	0	0	3	3	1
R7_cell_differentiation	0	0	0	0	0	3	3	1
R8_cell_differentiation	0	0	0	0	0	3	3	1
T_cell_differentiation	0	0	0	0	0	3	3	1
brain_development	2	0	0	0	0	0	2	1
generation_of_neurons	2	0	0	0	0	0	2	1
hyperphosphorylation	2	0	0	0	0	0	2	1
long_term_synaptic_potentiation	2	0	0	0	0	0	2	1
positive_regulation_of_B_cell_activation	2	0	0	0	0	0	2	1
positive_regulation_of_cell_activation	2	0	0	0	0	0	2	1
positive_regulation_of_NK_T_cell_activation	2	0	0	0	0	0	2	1
positive_regulation_of_T_cell_activation	2	0	0	0	0	0	2	1
ligand_regulated_transcription_factor_activity	0	2	0	0	0	0	2	1
poly(ADP_ribose)_glycohydrolase_activity	0	2	0	0	0	0	2	1
regulation_of_B_cell_cytokine_production	0	2	0	0	0	0	2	1
regulation_of_calcium_ion_import	0	2	0	0	0	0	2	1
regulation_of_T_cell_cytokine_production	0	2	0	0	0	0	2	1
long_chain_fatty_acid_binding	0	0	2	0	0	0	2	1
long_chain_fatty_acid_transport	0	0	2	0	0	0	2	1
membrane_assembly	0	0	2	0	0	0	2	1
membrane_organization	0	0	2	0	0	0	2	1
mitochondrial_membrane_organization	0	0	2	0	0	0	2	1
mitochondrial_respiratory_chain_supercomplex_assembly	0	0	2	0	0	0	2	1
nuclear_inner_membrane_organization	0	0	2	0	0	0	2	1
peroxisome_receptor	0	0	2	0	0	0	2	1
plastid_inner_membrane_organization	0	0	2	0	0	0	2	1
protein_unfolding	0	0	2	0	0	0	2	1
regulation_of_fatty_acid_beta_oxidation	0	0	2	0	0	0	2	1
"regulation_of_molecular_function,_epigenetic"	0	0	2	0	0	0	2	1
regulation_of_skeletal_muscle_adaptation	0	0	2	0	0	0	2	1
release_of_misfolded_protein_from_chaperone	0	0	2	0	0	0	2	1
skeletal_muscle_fiber_adaptation	0	0	2	0	0	0	2	1
skeletal_muscle_fiber_differentiation	0	0	2	0	0	0	2	1
3_phosphoinositide_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
Atg12_conjugating_enzyme_activity	0	0	0	2	0	0	2	1
calcium_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
calcium_dependent_protein_kinase_C_activity	0	0	0	2	0	0	2	1
calmodulin_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
cAMP_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
cGMP_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
cyclin_dependent_protein_kinase_5_activator_activity	0	0	0	2	0	0	2	1
cyclin_dependent_protein_kinase_activating_kinase_activity	0	0	0	2	0	0	2	1
cyclin_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
cytokine_secretion	0	0	0	2	0	0	2	1
GTP_dependent_protein_kinase_activity	0	0	0	2	0	0	2	1
innate_immune_response	0	0	0	2	0	0	2	1
innate_immune_response_in_mucosa	0	0	0	2	0	0	2	1
mitochondrial_inner_membrane_peptidase_activity	0	0	0	2	0	0	2	1
regulation_of_innate_immune_response	0	0	0	2	0	0	2	1
signal_transduction	0	0	0	2	0	0	2	1
transduction	0	0	0	2	0	0	2	1
ubiquitin_protein_ligase_activity	0	0	0	2	0	0	2	1
B_cell_receptor_apoptotic_signaling_pathway	0	0	0	0	2	0	2	1
cell_cycle_arrest	0	0	0	0	2	0	2	1
immune_response_to_tumor_cell	0	0	0	0	2	0	2	1
induction_of_apoptosis_by_p53	0	0	0	0	2	0	2	1
mitotic_cell_cycle_arrest	0	0	0	0	2	0	2	1
negative_regulation_of_protein_processing	0	0	0	0	2	0	2	1
positive_regulation_of_protein_processing	0	0	0	0	2	0	2	1
regulation_of_B_cell_receptor_signaling_pathway	0	0	0	0	2	0	2	1
regulation_of_extrinsic_apoptotic_signaling_pathway	0	0	0	0	2	0	2	1
regulation_of_intrinsic_apoptotic_signaling_pathway	0	0	0	0	2	0	2	1
regulation_of_protein_catabolic_process	0	0	0	0	2	0	2	1
regulation_of_protein_processing	0	0	0	0	2	0	2	1
regulation_of_T_cell_receptor_signaling_pathway	0	0	0	0	2	0	2	1
cellular_response_to_4_nitroquinoline_N_oxide	0	0	0	0	0	2	2	1
cellular_response_to_nitric_oxide	0	0	0	0	0	2	2	1
cellular_senescence	0	0	0	0	0	2	2	1
DNA_repair_enzyme	0	0	0	0	0	2	2	1
fatty_acid_ligase_activity	0	0	0	0	0	2	2	1
fatty_acid_O_methyltransferase_activity	0	0	0	0	0	2	2	1
fatty_acid_peroxidase_activity	0	0	0	0	0	2	2	1
fatty_acid_synthase_activity	0	0	0	0	0	2	2	1
fatty_acid_transporter_activity	0	0	0	0	0	2	2	1
lipid_hydroxylation	0	0	0	0	0	2	2	1
negative_regulation_of_B_cell_deletion	0	0	0	0	0	2	2	1
negative_regulation_of_cellular_metabolic_process	0	0	0	0	0	2	2	1
negative_regulation_of_cellular_process	0	0	0	0	0	2	2	1
positive_regulation_of_cellular_metabolic_process	0	0	0	0	0	2	2	1
positive_regulation_of_cellular_process	0	0	0	0	0	2	2	1
protein_cysteine_thiol_oxidation	0	0	0	0	0	2	2	1
protein_hydroxylation	0	0	0	0	0	2	2	1
regulation_of_cellular_amide_metabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_amine_metabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_biosynthetic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_carbohydrate_metabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_catabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_ketone_metabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_organofluorine_metabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_organohalogen_metabolic_process	0	0	0	0	0	2	2	1
regulation_of_cellular_process	0	0	0	0	0	2	2	1
regulation_of_stem_cell_differentiation	0	0	0	0	0	2	2	1
acetylcholine_transport	1	0	0	0	0	0	1	1
beta_amyloid_formation	1	0	0	0	0	0	1	1
cellular_respiration	1	0	0	0	0	0	1	1
electron_transporter_activity	1	0	0	0	0	0	1	1
error_free_DNA_repair	1	0	0	0	0	0	1	1
extracellular_matrix_constituent_secretion	1	0	0	0	0	0	1	1
facilitated_diffusion	1	0	0	0	0	0	1	1
formate_oxidation	1	0	0	0	0	0	1	1
learning_or_memory	1	0	0	0	0	0	1	1
long_term_memory	1	0	0	0	0	0	1	1
matrix_metalloproteinase_19_activity	1	0	0	0	0	0	1	1
matrix_metalloproteinase_25_activity	1	0	0	0	0	0	1	1
motor_activity	1	0	0	0	0	0	1	1
negative_regulation_of_B_cell_activation	1	0	0	0	0	0	1	1
negative_regulation_of_cell_activation	1	0	0	0	0	0	1	1
negative_regulation_of_NK_T_cell_activation	1	0	0	0	0	0	1	1
negative_regulation_of_oxidative_stress_induced_neuron_death	1	0	0	0	0	0	1	1
negative_regulation_of_synaptic_plasticity	1	0	0	0	0	0	1	1
negative_regulation_of_T_cell_activation	1	0	0	0	0	0	1	1
neuron_cellular_homeostasis	1	0	0	0	0	0	1	1
neurotoxin_activity	1	0	0	0	0	0	1	1
positive_regulation_of_cell_aging	1	0	0	0	0	0	1	1
positive_regulation_of_cell_development	1	0	0	0	0	0	1	1
positive_regulation_of_oxidative_stress_induced_neuron_death	1	0	0	0	0	0	1	1
positive_regulation_of_synaptic_plasticity	1	0	0	0	0	0	1	1
regulation_of_B_cell_activation	1	0	0	0	0	0	1	1
regulation_of_beta_amyloid_formation	1	0	0	0	0	0	1	1
regulation_of_cell_activation	1	0	0	0	0	0	1	1
regulation_of_mast_cell_activation	1	0	0	0	0	0	1	1
regulation_of_memory_T_cell_activation	1	0	0	0	0	0	1	1
regulation_of_nervous_system_development	1	0	0	0	0	0	1	1
regulation_of_neuronal_synaptic_plasticity	1	0	0	0	0	0	1	1
regulation_of_NK_T_cell_activation	1	0	0	0	0	0	1	1
regulation_of_oxidative_stress_induced_neuron_death	1	0	0	0	0	0	1	1
regulation_of_synaptic_plasticity	1	0	0	0	0	0	1	1
regulation_of_T_cell_activation	1	0	0	0	0	0	1	1
regulation_of_T_helper_1_cell_activation	1	0	0	0	0	0	1	1
regulation_of_T_helper_2_cell_activation	1	0	0	0	0	0	1	1
response_to_ischemia	1	0	0	0	0	0	1	1
secretion_by_cell	1	0	0	0	0	0	1	1
signal_initiation_by_mechanical_effect	1	0	0	0	0	0	1	1
system_development	1	0	0	0	0	0	1	1
translational_initiation	1	0	0	0	0	0	1	1
3'_5'_exonuclease_activity	0	1	0	0	0	0	1	1
5'_3'_exonuclease_activity	0	1	0	0	0	0	1	1
acetylcholine_receptor_regulator_activity	0	1	0	0	0	0	1	1
acid_amino_acid_ligase_activity	0	1	0	0	0	0	1	1
activation_of_pro_apoptotic_gene_products	0	1	0	0	0	0	1	1
adenine_binding	0	1	0	0	0	0	1	1
ADP_ribose_diphosphatase_activity	0	1	0	0	0	0	1	1
ADP_ribose_pyrophosphohydrolase_activity	0	1	0	0	0	0	1	1
amino_acid_activation	0	1	0	0	0	0	1	1
amino_acid_homeostasis	0	1	0	0	0	0	1	1
amino_acid_import	0	1	0	0	0	0	1	1
amino_acid_kinase_activity	0	1	0	0	0	0	1	1
amino_acid_racemase_activity	0	1	0	0	0	0	1	1
amino_acid_transmembrane_import	0	1	0	0	0	0	1	1
arabinogalactan_protein_metabolic_process	0	1	0	0	0	0	1	1
biological_regulation	0	1	0	0	0	0	1	1
calcium_activated_phospholipid_scrambling	0	1	0	0	0	0	1	1
calcium_dependent_ATPase_activity	0	1	0	0	0	0	1	1
calcium_dependent_phospholipase_A2_activity	0	1	0	0	0	0	1	1
calcium_dependent_phospholipase_C_activity	0	1	0	0	0	0	1	1
calcium_ion_import_into_cell	0	1	0	0	0	0	1	1
cathepsin_B_activity	0	1	0	0	0	0	1	1
cathepsin_D_activity	0	1	0	0	0	0	1	1
cathepsin_E_activity	0	1	0	0	0	0	1	1
cathepsin_F_activity	0	1	0	0	0	0	1	1
cathepsin_G_activity	0	1	0	0	0	0	1	1
cathepsin_H_activity	0	1	0	0	0	0	1	1
cathepsin_K_activity	0	1	0	0	0	0	1	1
cathepsin_L_activity	0	1	0	0	0	0	1	1
cathepsin_S_activity	0	1	0	0	0	0	1	1
cell_adhesion_molecule_activity	0	1	0	0	0	0	1	1
cell_communication	0	1	0	0	0	0	1	1
cell_projection_organization	0	1	0	0	0	0	1	1
cellular_abscisic_acid_homeostasis	0	1	0	0	0	0	1	1
cellular_amino_acid_metabolic_process	0	1	0	0	0	0	1	1
cellular_bud_site_selection	0	1	0	0	0	0	1	1
cellular_calcium_ion_homeostasis	0	1	0	0	0	0	1	1
cellular_lipid_biosynthetic_process	0	1	0	0	0	0	1	1
cellular_lipid_catabolic_process	0	1	0	0	0	0	1	1
cellular_protein_catabolic_process	0	1	0	0	0	0	1	1
cellular_protein_modification_process	0	1	0	0	0	0	1	1
cytochrome_bo3_ubiquinol_oxidase_activity	0	1	0	0	0	0	1	1
cytochrome_c_oxidase_activity	0	1	0	0	0	0	1	1
cytochrome_o_ubiquinol_oxidase_activity	0	1	0	0	0	0	1	1
D_amino_acid_dehydrogenase_activity	0	1	0	0	0	0	1	1
D_amino_acid_metabolic_process	0	1	0	0	0	0	1	1
D_amino_acid_N_acetyltransferase_activity	0	1	0	0	0	0	1	1
D_amino_acid_oxidase_activity	0	1	0	0	0	0	1	1
death_receptor_agonist_activity	0	1	0	0	0	0	1	1
death_receptor_associated_factor_activity	0	1	0	0	0	0	1	1
DNA_ligase_(ATP)_activity	0	1	0	0	0	0	1	1
double_stranded_DNA_binding	0	1	0	0	0	0	1	1
drug_transport	0	1	0	0	0	0	1	1
ensheathment_of_neuronal_cell_bodies	0	1	0	0	0	0	1	1
ether_lipid_metabolic_process	0	1	0	0	0	0	1	1
exonuclease_activity	0	1	0	0	0	0	1	1
fibroblast_activation	0	1	0	0	0	0	1	1
free_L_amino_acid_racemization	0	1	0	0	0	0	1	1
glycine_receptor_associated_protein	0	1	0	0	0	0	1	1
JNK_cascade	0	1	0	0	0	0	1	1
Kdo2_lipid_A_metabolic_process	0	1	0	0	0	0	1	1
L_amino_acid_dehydrogenase_activity	0	1	0	0	0	0	1	1
L_amino_acid_import	0	1	0	0	0	0	1	1
L_amino_acid_oxidase_activity	0	1	0	0	0	0	1	1
lipid_A_metabolic_process	0	1	0	0	0	0	1	1
lipid_homeostasis	0	1	0	0	0	0	1	1
lipid_metabolic_process	0	1	0	0	0	0	1	1
lipid_X_metabolic_process	0	1	0	0	0	0	1	1
malonic_acid_import_into_cell	0	1	0	0	0	0	1	1
membrane_lipid_metabolic_process	0	1	0	0	0	0	1	1
mitochondrial_double_strand_break_repair	0	1	0	0	0	0	1	1
mitochondrial_RNA_metabolic_process	0	1	0	0	0	0	1	1
mitochondrion_ER_tethering	0	1	0	0	0	0	1	1
muscle_cell_cellular_homeostasis	0	1	0	0	0	0	1	1
negative_regulation_of_receptor_activity	0	1	0	0	0	0	1	1
neutral_lipid_metabolic_process	0	1	0	0	0	0	1	1
nucleotide_binding	0	1	0	0	0	0	1	1
oxidative_DNA_demethylase_activity	0	1	0	0	0	0	1	1
platelet_activating_factor_receptor_activity	0	1	0	0	0	0	1	1
platelet_activation	0	1	0	0	0	0	1	1
positive_regulation_of_receptor_activity	0	1	0	0	0	0	1	1
protein_activation_cascade	0	1	0	0	0	0	1	1
protein_galactosylation_at_cell_surface	0	1	0	0	0	0	1	1
protein_glycosylation_at_cell_surface	0	1	0	0	0	0	1	1
protein_localization_to_cell_surface	0	1	0	0	0	0	1	1
protein_metabolic_process	0	1	0	0	0	0	1	1
receptor_regulator_activity	0	1	0	0	0	0	1	1
regulation_of_amino_acid_export	0	1	0	0	0	0	1	1
regulation_of_amino_acid_transport	0	1	0	0	0	0	1	1
regulation_of_androgen_receptor_activity	0	1	0	0	0	0	1	1
regulation_of_anion_channel_activity	0	1	0	0	0	0	1	1
regulation_of_calcium_ion_binding	0	1	0	0	0	0	1	1
regulation_of_calcium_ion_transport	0	1	0	0	0	0	1	1
regulation_of_cell_projection_organization	0	1	0	0	0	0	1	1
regulation_of_cytokinin_dehydrogenase_activity	0	1	0	0	0	0	1	1
regulation_of_L_arginine_import_into_cell	0	1	0	0	0	0	1	1
regulation_of_leucine_import_into_cell	0	1	0	0	0	0	1	1
regulation_of_proline_import_into_cell	0	1	0	0	0	0	1	1
regulation_of_proteinase_activated_receptor_activity	0	1	0	0	0	0	1	1
regulation_of_receptor_activity	0	1	0	0	0	0	1	1
regulation_of_sequestering_of_calcium_ion	0	1	0	0	0	0	1	1
response_to_dopamine	0	1	0	0	0	0	1	1
response_to_tumor_necrosis_factor	0	1	0	0	0	0	1	1
signal_transmission	0	1	0	0	0	0	1	1
signaling_(initiator)_caspase_activity	0	1	0	0	0	0	1	1
single_organism_membrane_fusion	0	1	0	0	0	0	1	1
toxin_transport	0	1	0	0	0	0	1	1
transcription_coactivator_activity	0	1	0	0	0	0	1	1
transcription_initiation_from_mitochondrial_promoter	0	1	0	0	0	0	1	1
tumor_necrosis_factor_activated_receptor_activity	0	1	0	0	0	0	1	1
tumor_necrosis_factor_binding	0	1	0	0	0	0	1	1
tumor_necrosis_factor_production	0	1	0	0	0	0	1	1
uniport	0	1	0	0	0	0	1	1
voltage_gated_calcium_channel_activity	0	1	0	0	0	0	1	1
voltage_gated_channel_activity	0	1	0	0	0	0	1	1
adenosine_metabolic_process	0	0	1	0	0	0	1	1
apoptotic_process	0	0	1	0	0	0	1	1
ATP_transport	0	0	1	0	0	0	1	1
B_cell_apoptotic_process	0	0	1	0	0	0	1	1
B_cell_inhibitory_signaling_pathway	0	0	1	0	0	0	1	1
cardiac_muscle_cell_differentiation	0	0	1	0	0	0	1	1
catalytic_activity	0	0	1	0	0	0	1	1
cellular_iron_ion_homeostasis	0	0	1	0	0	0	1	1
cellular_response_to_endogenous_stimulus	0	0	1	0	0	0	1	1
cellular_response_to_redox_state	0	0	1	0	0	0	1	1
chromatin_modification	0	0	1	0	0	0	1	1
chromatin_remodeling	0	0	1	0	0	0	1	1
coenzyme_A_transport	0	0	1	0	0	0	1	1
coenzyme_transport	0	0	1	0	0	0	1	1
cytoplasmic_translation	0	0	1	0	0	0	1	1
cytotoxic_T_cell_apoptotic_process	0	0	1	0	0	0	1	1
deacetylase_activity	0	0	1	0	0	0	1	1
dendritic_cell_apoptotic_process	0	0	1	0	0	0	1	1
deoxyribonucleoside_triphosphate_metabolic_process	0	0	1	0	0	0	1	1
diadenosine_triphosphate_metabolic_process	0	0	1	0	0	0	1	1
DNA_methylation	0	0	1	0	0	0	1	1
DNA_replication	0	0	1	0	0	0	1	1
endonuclease_activity	0	0	1	0	0	0	1	1
endonuclease_G_activity	0	0	1	0	0	0	1	1
endothelial_cell_apoptotic_process	0	0	1	0	0	0	1	1
energy_reserve_metabolic_process	0	0	1	0	0	0	1	1
fatty_acid_biosynthetic_process	0	0	1	0	0	0	1	1
fatty_acid_catabolic_process	0	0	1	0	0	0	1	1
fatty_acid_homeostasis	0	0	1	0	0	0	1	1
fibroblast_growth_factor_production	0	0	1	0	0	0	1	1
glial_cell_apoptotic_process	0	0	1	0	0	0	1	1
heat_dissipation	0	0	1	0	0	0	1	1
histone_H3_K9_modification	0	0	1	0	0	0	1	1
histone_modification	0	0	1	0	0	0	1	1
induced_systemic_resistance	0	0	1	0	0	0	1	1
interferon_gamma_receptor_activity	0	0	1	0	0	0	1	1
intracellular_protein_transmembrane_import	0	0	1	0	0	0	1	1
lipid_phosphorylation	0	0	1	0	0	0	1	1
mast_cell_apoptotic_process	0	0	1	0	0	0	1	1
mature_B_cell_apoptotic_process	0	0	1	0	0	0	1	1
mesenchymal_cell_apoptotic_process	0	0	1	0	0	0	1	1
mitochondrial_ATP_transmembrane_transport	0	0	1	0	0	0	1	1
mitochondrial_coenzyme_A_transmembrane_transport	0	0	1	0	0	0	1	1
mitochondrial_processing_peptidase_activity	0	0	1	0	0	0	1	1
mitochondrial_protein_catabolic_process	0	0	1	0	0	0	1	1
mitochondrial_protein_processing	0	0	1	0	0	0	1	1
mitochondrial_pyrimidine_nucleotide_import	0	0	1	0	0	0	1	1
mitochondrial_respiratory_chain_complex_III_assembly	0	0	1	0	0	0	1	1
mitochondrial_translation	0	0	1	0	0	0	1	1
muscle_adaptation	0	0	1	0	0	0	1	1
muscle_cell_apoptotic_process	0	0	1	0	0	0	1	1
muscle_hypertrophy	0	0	1	0	0	0	1	1
myeloid_cell_apoptotic_process	0	0	1	0	0	0	1	1
negative_regulation_of_anti_apoptosis	0	0	1	0	0	0	1	1
negative_regulation_of_chromatin_modification	0	0	1	0	0	0	1	1
negative_regulation_of_fatty_acid_beta_oxidation	0	0	1	0	0	0	1	1
negative_regulation_of_histone_modification	0	0	1	0	0	0	1	1
negative_regulation_of_muscle_hypertrophy	0	0	1	0	0	0	1	1
nucleoside_triphosphate_metabolic_process	0	0	1	0	0	0	1	1
nurse_cell_apoptotic_process	0	0	1	0	0	0	1	1
oxygen_homeostasis	0	0	1	0	0	0	1	1
pantothenate_kinase_activity	0	0	1	0	0	0	1	1
phospholipid_transport	0	0	1	0	0	0	1	1
phosphorelay_sensor_kinase_activity	0	0	1	0	0	0	1	1
pigment_metabolic_process_involved_in_pigmentation	0	0	1	0	0	0	1	1
plasma_membrane_long_chain_fatty_acid_transport	0	0	1	0	0	0	1	1
plasma_membrane_long_chain_fatty_acid_transporter	0	0	1	0	0	0	1	1
positive_regulation_of_anti_apoptosis	0	0	1	0	0	0	1	1
positive_regulation_of_chromatin_modification	0	0	1	0	0	0	1	1
positive_regulation_of_fatty_acid_beta_oxidation	0	0	1	0	0	0	1	1
positive_regulation_of_histone_modification	0	0	1	0	0	0	1	1
positive_regulation_of_muscle_hypertrophy	0	0	1	0	0	0	1	1
protein_amino_acid_cinnamylation	0	0	1	0	0	0	1	1
protein_deacetylase_activity	0	0	1	0	0	0	1	1
protein_destabilization	0	0	1	0	0	0	1	1
protein_import_into_peroxisome_matrix	0	0	1	0	0	0	1	1
reductive_tricarboxylic_acid_cycle	0	0	1	0	0	0	1	1
regulation_of_amino_acid_import	0	0	1	0	0	0	1	1
regulation_of_anti_apoptosis	0	0	1	0	0	0	1	1
regulation_of_cardiac_muscle_hypertrophy	0	0	1	0	0	0	1	1
regulation_of_chromatin_modification	0	0	1	0	0	0	1	1
regulation_of_DNA_methylation	0	0	1	0	0	0	1	1
regulation_of_fatty_acid_transport	0	0	1	0	0	0	1	1
regulation_of_histone_modification	0	0	1	0	0	0	1	1
regulation_of_muscle_hypertrophy	0	0	1	0	0	0	1	1
regulation_of_skeletal_muscle_contraction	0	0	1	0	0	0	1	1
regulatory_T_cell_apoptotic_process	0	0	1	0	0	0	1	1
respiratory_chain_cytochrome_b6	0	0	1	0	0	0	1	1
response_to_amino_acid	0	0	1	0	0	0	1	1
response_to_cold	0	0	1	0	0	0	1	1
response_to_heat	0	0	1	0	0	0	1	1
response_to_host_redox_environment	0	0	1	0	0	0	1	1
response_to_misfolded_protein	0	0	1	0	0	0	1	1
response_to_unfolded_protein	0	0	1	0	0	0	1	1
retinal_cell_apoptotic_process	0	0	1	0	0	0	1	1
ribonucleoside_triphosphate_metabolic_process	0	0	1	0	0	0	1	1
segmentation	0	0	1	0	0	0	1	1
Sertoli_cell_apoptotic_process	0	0	1	0	0	0	1	1
signal_initiation_by_amino_acid	0	0	1	0	0	0	1	1
skeletal_muscle_adaptation	0	0	1	0	0	0	1	1
